,i,distance,mean of wind direction,variance of wind direction,base power,opt power,percent_gain,optimal position
0,0,0,0,0.0,148160.21439816206,148159.72446145848,-0.0003306803419348341,"[[0.0010685811281538854, 221.8733851929125, 444.5678833380029, 665.892344079557, 888.4873125031826, 1110.4652958003337, 1333.1455429255195, 1554.6607994961746, 1777.0603632581904, 1999.9994021018724], [999.1848036138655, 998.9364930307138, 998.9343937570335, 999.8292407777172, 998.5106776319195, 998.4258634906165, 998.9391548025709, 998.6312117390381, 998.9396759051677, 1000.1185021060915]]"
1,1,0,0,15.0,148149.0922238044,148149.01026942118,-5.5318856142693464e-05,"[[0.0010685811281538854, 221.8733851929125, 444.5678833380029, 665.892344079557, 888.4873125031826, 1110.4652958003337, 1333.1455429255195, 1554.6607994961746, 1777.0603632581904, 1999.9994021018724], [999.1848036138655, 998.9364930307138, 998.9343937570335, 999.8292407777172, 998.5106776319195, 998.4258634906165, 998.9391548025709, 998.6312117390381, 998.9396759051677, 1000.1185021060915]]"
2,2,0,0,30.0,143852.22409172566,143847.32011880743,-0.0034090351742486497,"[[1.89746937050633, 2.5715126226514404e-14, 280.56082238053256, 568.7867012266948, 855.1046979625443, 1139.4951002588064, 1430.8692283250903, 1712.7100137530877, 2000.0, 1999.9999979508075], [2.123553893685962e-15, 1992.7570631687013, 1999.999911749589, 1998.5950205445106, 1999.9998815750284, 2000.0, 2000.0, 2000.0, 1999.9942453890674, 1.984949003538398e-16]]"
3,3,0,0,45.0,138569.12247532074,138678.36058456023,0.07883293715665182,"[[2.065409412208849e-13, 7.583737035953076e-15, 306.2377081004591, 636.5879186946513, 990.1365907687936, 1314.9730848858576, 1657.1494600769643, 2000.0, 2000.0, 2000.0], [2.127431484554308e-14, 2000.0, 2000.0, 2000.0, 1999.147019841628, 2000.0, 2000.0, 2000.0, 6.137089297486377e-15, 729.1645956850042]]"
4,4,0,0,60.0,136749.1823898567,136914.40092031955,0.12081866054001801,"[[4.482763319341766e-18, 18.912486726308497, 6.665113610649389e-18, 341.0142042662118, 733.1649373737869, 1137.1571100767171, 1567.7401245699814, 2000.0, 2000.0, 2000.0], [5.931243379591393e-24, 699.5949580939421, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 4.385391714641033e-14, 729.1958358725307]]"
5,5,0,0,75.0,137394.469512811,137438.71214750063,0.03220117581626079,"[[0.0, 1.8059420315869074e-14, 0.0, 440.8235994630123, 940.9813310832104, 1469.6696613110496, 2000.0, 2000.0, 2000.0, 996.3630714536473], [3.3925425626322684e-23, 883.6078296529316, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2.2993614423728372e-14, 893.1221207714369, 2.0283669898931474e-14]]"
6,6,0,0,90.0,137631.89744365204,137681.02138867855,0.03569226751859962,"[[1.586661205265992e-14, 2.7540693645579547e-14, 4.294079021303551e-15, 595.7243318352978, 1250.706596104508, 2000.0, 2000.0, 2000.0, 2000.0, 924.8975677291996], [1.4234686007186272e-14, 916.3073246843962, 2000.0, 2000.0, 2000.0, 2000.0, 3.0086579684436644e-15, 592.926716046923, 1258.603682403271, 1.7292545511189308e-14]]"
