,distance,variance of wind direction,flexible farm base power,flexible farm opt power,flexible_percent_gain,fixed farm base power,fixed farm opt power,fixed_percent_gain,total farm base power,total farm opt power,total_percent_gain,overlap_flag,optimal position
1,2000.0,0.0,148046.7074431028,101685.884932908,-31.314997348395707,120972.76821427913,129339.79207247085,6.916452340225206,269019.4756573818,231025.67700537882,-14.123066205210804,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 2.5384263812918755e-12, 1.4893414676501772e-12, 7.166761804853269e-08, 5.177025893365787e-12, 798.2225225349617, 1139.3079325106228, 1401.4536368038773, 1999.9999999999945, 1999.9999999999975, 1999.9999999999395], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3999.943591914573, 2612.67027327966, 2000.000400133596, 3351.2643857543335, 3214.948063169066, 2000.00001021206, 3660.255947990288, 3999.943802767328, 2986.3956734961425, 2000.000000000004]]]"
2,2500.0,0.0,148027.43322759095,106886.12339828434,-27.793030610786982,125655.90921029044,133390.48223045506,6.1553595599077555,273683.3424378814,240276.60562873937,-12.206346397104689,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 3.0987320024955076e-13, 2.1799369465827965e-13, 904.860662665357, 2.566087460127346, 775.3321003976622, 779.5321439324763, 1455.2100809811443, 1996.8184233528657, 1999.9992745632146, 1999.9764121184562], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3385.014488872099, 4500.0, 4499.8065400714, 2500.0, 2500.0, 3300.1651916530654, 3926.4522373505115, 4500.0, 2500.001319383797, 3273.575790718373]]]"
3,3000.0,0.0,148022.4722982513,123147.3095555272,-16.8049907264101,128884.80714892288,132980.5684374826,3.1778464655086873,276907.27944717417,256127.8779930098,-7.50410082958056,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 3.1504843088820447e-13, 1.8369701987210297e-13, 1.8369702112073196e-13, 464.8084137442678, 966.2032068781807, 892.8177611395337, 1492.5834676632817, 1611.8213114745868, 2000.0000000000002, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3000.0, 5000.0, 3803.2990954523293, 5000.0, 5000.0, 3000.0000000000005, 5000.0, 3621.666167212032, 5000.0, 3000.0000000000005]]]"
4,3500.0,0.0,148073.3254814877,106846.34508002044,-27.842273594795103,132415.75057649243,136276.4630998002,2.9155991689051786,280489.0760579802,243122.80817982065,-13.321826433780798,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 3.381503403278476, 5.0785739071182014, 2.143131902548281e-13, 711.1931304311681, 1371.2401492969598, 2.1431318985078022e-13, 1208.9067274989193, 1434.8242973095576, 2000.0000000000002, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3580.203873029753, 4709.920997785424, 5500.0, 5500.0, 4346.635492539189, 4024.010184600144, 3500.0, 5500.0, 3500.0, 5500.0]]]"
5,2000.0,90.0,127593.23968685407,136704.5104945466,7.140872690476291,118656.4701565408,118383.91288741867,-0.22970282932110886,246249.70984339487,255088.42338196526,3.5893295241612515,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 1.224646818320596e-13, 1.2246467991473532e-13, 625.4727792465255, 2.363027369562185e-13, 865.4473766910097, 1265.4249990022026, 1040.687704483263, 2000.0, 2000.0000000000002, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4000.0, 2978.1012619661997, 4000.0, 2000.0, 2000.0, 4000.0, 2967.0474745847782, 2000.0, 4000.0, 2931.050036896136]]]"
6,2500.0,90.0,126684.4960605676,136335.89482131216,7.618452976384928,120026.38141855685,119510.65415146238,-0.42967825989522923,246710.8774791245,255846.54897277453,3.7029869079943802,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 6.93048434601163e-10, 2.386878370617561e-13, 1.5482848340265744e-13, 709.5209899208954, 1211.7645786868477, 788.439951246692, 1565.7975884404698, 2000.0, 1999.9999999999998, 2000.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3553.832718772606, 4500.0, 2500.0000000000005, 3192.8500535559797, 2500.0000000000005, 4500.0, 4056.558011526212, 4500.0, 3344.509341192508, 2500.0]]]"
7,3000.0,90.0,129288.84041792706,136576.27521501755,5.636553606277085,120540.76442874977,120478.23281223889,-0.05187590837607744,249829.6048466768,257054.50802725644,2.891932357261514,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 2.1159691482342792e-13, 3.067565649065592e-13, 693.1337700487031, 615.7644057642722, 639.8175572773658, 1357.1616058138616, 1999.998644837589, 1276.6465373528652, 1999.9999079865395, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3000.0, 5000.0, 3000.0, 5000.0, 4042.762652694485, 3480.4545543357467, 3000.0, 5000.0, 5000.0, 3961.98367562686]]]"
8,3500.0,90.0,129927.34411157097,136634.82180589635,5.162483494287045,121243.81069175348,121094.42697006023,-0.12320935876309007,251171.15480332443,257729.24877595657,2.6110060200851284,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 2.2547088463384084e-13, 2.4356694205377734e-13, 728.8524636001595, 2.9616327910120933e-13, 756.5382542715801, 1241.436557911723, 1209.822130711846, 1999.9998809546296, 2000.0000000000002, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4616.72824567448, 3500.0, 4617.259413840179, 5500.0, 3500.0, 4127.9583781075835, 5500.0, 3500.0, 4584.969662676572, 5500.0]]]"
